Size,ICAO,IATA,City,Name,Max Runway,Lat,Long
Small,YANG,,,West Angelas Airport,,-23.136,0
Small,YUSL,USL,,Useless Loop Airport,,-26.167,113.4
Small,YGAR,,,Gnaraloo Station Airport,,-23.792,113.529
Medium,YSHK,DNM,,SHARK BAY,5545 ft,-25.894,113.577
Small,,,,Abrolhos North Island,,-28.3,113.596
Medium,YCAR,CVQ,,CARNARVON,5509 ft,-24.881,113.672
Small,,,,Abrolhos Island,,-28.475,113.689
Small,YTML,,,Tamala Airport,,-26.667,113.733
Small,YCOY,,,Coral Bay Airport,,-23.13,113.777
Small,YRAT,,,Abrolhos Rat Island,,-28.72,113.784
Small,,,,Yardie Homestead,,-21.884,114.007
Small,YEXM,EXM,,Exmouth Airport,,-22.033,114.1
Small,YKBR,KAX,,KALBARRI,5246 ft,-27.69,114.262
Small,YGIR,,,Giralia Airport,,-22.683,114.367
Small,YWPL,,,Winning Pool North Airport,,-23.1,114.533
Small,YBLB,,,Billabong Road House Airport,,-26.817,114.617
Small,YNHP,,,Northampton Airport,,-28.35,114.683
Medium,YGEL,GET,,GERALDTON,6499 ft,-28.796,114.707
Small,YMIX,,,Middalya Homestead Airport,,-23.9,114.767
Small,YYNR,,,Yanrey Airport,,-22.517,114.8
Small,YDRA,DOX,,Dongara Airport,,-29.3,114.933
Small,YBDX,,,Barradale Airport,,-22.863,114.963
Small,YLEA,,,Leeman Airport,,-29.983,114.983
Small,YTHV,,,Thevenard Island Airport,,-21.467,115
Small,YNYG,,,Nyang Airport,,-23.033,115.033
Small,YJNB,JUR,,Jurien Bay Airport,,-30.3,115.033
Small,YLUW,,,Leeuwin Estate Airport,,-34.017,115.05
Small,YMDR,,,Minderoo Station Airport,,-22,115.05
Small,YCVS,,,Cervantes Airport,,-30.483,115.083
Small,YBUC,,,Butch Airport,,-33.833,115.1
Small,YMGT,,,MARGARET RIVER,3619 ft,-33.931,115.1
Small,YOLW,ONS,,Onslow Airport,4400 ft,-21.668,115.113
Small,YAUG,,,Augusta Airport,,-34.367,115.15
Small,YWMY,,,Williambury Airport,,-23.867,115.15
Small,YGSC,,,Gascoyne Junction Airport,,-25.05,115.2
Small,YLYN,,,Lyndon Airport,,-23.633,115.233
Small,YBLN,BQB,,BUSSELTON,5906 ft,-33.693,115.395
Small,YBWX,BWB,,BARROW ISLAND,6234 ft,-20.864,115.406
